Altium Designer Pick and Place Locations
E:\毞跡\掀��\PCB\Analog_ADC\Project Outputs for Analog_ADC\Pick Place for Analog_ADC.txt

========================================================================================================================
File Design Information:

Date:       04/08/26
Time:       17:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint        Center-X(mil) Center-Y(mil) Rotation Description                                       
C42        100nF                   TopLayer    C0402            4276.754      2899.230      90       "100nF ㊣10% 50V 0402 GCM"                         
MH1        "Mounting Hole (Screw)" TopLayer    MOUNT_PAD_L-M3   4488.483      4428.669      0        "Mounting Hole, M3 Screw"                         
C41        100nF                   TopLayer    C0402            3307.475      2701.039      270      "100nF ㊣10% 50V 0402 GCM"                         
C40        100nF                   TopLayer    C0402            3228.212      2917.134      0        "100nF ㊣10% 50V 0402 GCM"                         
RT31       0次                      TopLayer    R0603            3778.154      3144.087      90       "綠臚萇郯 0次 250mW 0603"                              
R33        47k次                    TopLayer    R0603            3853.154      3144.087      90       "情臚萇郯 47k次 ㊣1% 100mW 0603"                        
U_VDD1     LT1761ES5-2.5           TopLayer    SOT23-5          4672.943      3771.101      180      "Low Noise LDO (100mA)-> 1.2~3.3V~5V, or Adj<20V" 
U_REF1     ADR431                  TopLayer    SO-8             4680.806      3283.515      180      ""                                                
U9         LMV7239QDBVRQ1          TopLayer    LMV7239QDBVRQ1   3265.012      3244.534      0        ""                                                
U8         SN74LVC1G123DCTR        TopLayer    SSOP8            3390.709      2987.921      180      等恛怓嗣迣淥絕ん                                          
U7         SN74LVC1G123DCTR        TopLayer    SSOP8            3500.709      2712.921      180      等恛怓嗣迣淥絕ん                                          
U6         THS4631DR               TopLayer    THS4631DR        3957.350      3705.000      90       "詢揤ㄛ詢 slew rateㄛ遵湍 FET 怀�郺佫蒴霽鬷�"                   
U5         AD7980                  TopLayer    MSOP-10          4162.444      3224.515      0        "16-Bit, 1 MSPS PulSAR ADC in MSOP/QFN"           
U4         ADA4807-1ARJZ-R2        TopLayer    ADA4807-1ARJZ-R2 3685.000      4070.240      180      ""                                                
U2         LTC6993-3               TopLayer    LTC6993-3        3826.825      2986.606      270      狟蔥朓揖楷等恛怓揖楷ん                                       
U1         ADA4807-1ARJZ-R2        TopLayer    ADA4807-1ARJZ-R2 3102.354      3835.453      180      ""                                                
S1         ADG721                  TopLayer    RM_8             4240.000      4025.000      0        ""                                                
Rset       127k次                   TopLayer    R0603            3932.735      2863.987      180      "情臚萇郯 127k次 ㊣0.5% 100mW 0603"                     
RF1        HJ-SMA508               TopLayer    HJ-SMA508        2471.828      3869.049      0        ""                                                
R30        22次                     TopLayer    R0603            4021.899      2995.386      90       "情臚萇郯 22次 ㊣0.1% 100mW 0603"                       
R29        50次                     TopLayer    R0603            3710.638      3269.902      90       "情臚萇郯 50次 ㊣0.1% 100mW 0603"                       
R28        100次                    TopLayer    R0603            3407.405      3848.856      270      "情臚萇郯 100次 ㊣0.1% 100mW"                           
R27        100k次                   TopLayer    RESC1608X55N     3401.712      3247.134      270      "100k次 0.1% 0603 100mW 情臚 25ppm/⊥"                
R26        10k次                    TopLayer    RESC1005X35N     3226.712      2972.134      0        "10k次 0.1% 0402 62.5mW 情臚 25ppm/⊥"                
R25        10k次                    TopLayer    RESC1005X35N     3351.712      2707.134      90       "10k次 0.1% 0402 62.5mW 情臚 25ppm/⊥"                
R24        22次                     TopLayer    R0603            4104.452      2998.984      270      "情臚萇郯 22次 ㊣0.1% 100mW 0603"                       
R23        47k次                    TopLayer    R0603            4232.975      2979.523      0        "情臚萇郯 47k次 ㊣1% 100mW 0603"                        
R21        22次                     TopLayer    R0603            4448.195      2885.969      0        "情臚萇郯 22次 ㊣0.1% 100mW 0603"                       
R20        20次                     TopLayer    R0603            4152.183      3513.771      90       "情臚萇郯 20次 ㊣0.1% 100mW 0603"                       
R19        5k次                     TopLayer    R0603            3542.181      3126.126      180      "情臚萇郯 5k次 ㊣0.1% 100mW 0603"                       
R18        82k次                    TopLayer    R0603            4464.452      3223.984      270      "情臚萇郯 82k次 ㊣0.1% 100mW 0603"                      
R17        2k次                     TopLayer    RESC1608X55N     3628.208      2842.134      180      "2k次 0.1% 0603 100mW 情臚 25ppm/⊥"                  
RT16       0次                      TopLayer    R0603            2801.885      3801.221      0        "綠臚萇郯 0次 250mW 0603"                              
R15        348次                    TopLayer    R0603            3694.420      3830.967      270      "情臚萇郯 348次 ㊣0.1% 100mW 0603 FH"                   
R14        91次                     TopLayer    R0603            3626.008      3920.469      270      "情臚萇郯 91次 ㊣0.1% 100mW 0603"                       
R13        1M次                     TopLayer    RESC1608X55N     3632.302      3765.246      90       "1M次 0.1% 0603 100mW 情臚 25ppm/⊥ 馱釬萇揤75V"          
R12        1k次                     TopLayer    R0603            3140.704      3291.665      90       "情臚萇郯 1k次 ㊣0.1% 100mW 0603"                       
R11        22次                     TopLayer    R0603            4039.531      3851.008      0        "情臚萇郯 22次 ㊣0.1% 100mW 0603"                       
R10        100k次                   TopLayer    RESC1608X55N     4435.000      3978.504      270      "100k次 0.1% 0603 100mW 情臚 25ppm/⊥"                
R9         0次                      TopLayer    R0603            4233.784      3048.515      0        "綠臚萇郯 0次 250mW 0603"                              
R8         470次                    TopLayer    R0603            3018.003      3720.942      0        "情臚萇郯 470次 ㊣0.1% 100mW 0603"                      
R7         470次                    TopLayer    R0603            3226.346      3829.744      90       "情臚萇郯 470次 ㊣0.1% 100mW 0603"                      
R6         1M次                     TopLayer    RESC1608X55N     3528.458      3978.444      90       "1M次 0.1% 0603 100mW 情臚 25ppm/⊥ 馱釬萇揤75V"          
R5         50次                     TopLayer    R0603            3425.102      3998.629      0        "情臚萇郯 50次 ㊣0.1% 100mW 0603"                       
RT4        0次                      TopLayer    R0603            3326.392      3962.393      90       "綠臚萇郯 0次 250mW 0603"                              
R3         22次                     TopLayer    R0603            2881.885      3871.221      0        "情臚萇郯 22次 ㊣0.1% 100mW 0603"                       
R2         1M次                     TopLayer    RESC1608X55N     2762.354      3903.717      270      "1M次 0.1% 0603 100mW 情臚 25ppm/⊥ 馱釬萇揤75V"          
R1         50次                     TopLayer    R0603            2678.362      3900.682      270      "情臚萇郯 50次 ㊣0.1% 100mW 0603"                       
MH2        "Mounting Hole (Screw)" TopLayer    MOUNT_PAD_L-M3   4488.504      2437.827      0        "Mounting Hole, M3 Screw"                         
J2         PM2.54-2X20P-H85        BottomLayer 2*20_2.54mm_齬譫   5131.365      3430.000      270      "2*20 齬譫"                                         
J1         "Header 2"              TopLayer    Header_2         2735.723      4123.608      0        "1x2P 潔擒:2.54mm 源渀 眻脣"                            
D2         BAT17                   TopLayer    SOT23-3          3840.000      4100.650      270      "萇揤:4V 萇霜:30mA"                                   
D1         BAT17                   TopLayer    SOT23-3          3959.350      3957.400      180      "萇揤:4V 萇霜:30mA"                                   
C39        "5pF, DNP"              TopLayer    C0603            3751.712      2734.574      90       "㊣0.25pF 5pF 50V 0603"                            
C38        100nF                   TopLayer    C0402            3924.162      3068.056      270      "100nF ㊣10% 50V 0402 GCM"                         
C37        100nF/100V              TopLayer    GRM18x           3221.712      3123.708      270      "100nF 10% 100V X7R 0603"                         
C36        1uF/50V                 TopLayer    CAPC1005X70N     3161.712      3127.134      90       "1uF 10% 50V 0402 X5R"                            
C35        75pF                    TopLayer    C0603            3566.712      3004.574      90       "75pF ㊣1% 250V 0603 C0G"                          
C34        "39pF NP0"              TopLayer    C0603            3666.712      2734.574      90       "39pF ㊣5% 50V NP0"                                
C33        100nF                   TopLayer    C0402            3395.212      3092.134      0        "100nF ㊣10% 50V 0402 GCM"                         
C32        100nF                   TopLayer    C0402            3206.712      3360.634      270      "100nF ㊣10% 50V 0402 GCM"                         
C31        100nF/100V              TopLayer    GRM18x           4415.000      4105.000      90       "100nF 10% 100V X7R 0603"                         
