Altium Designer Pick and Place Locations
E:\天格\比赛\PCB\Digital - 3xboard - 260804 - 1415\Project Outputs for Digital\Pick Place for Digital.txt

========================================================================================================================
File Design Information:

Date:       04/08/26
Time:       18:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                  Layer    Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                            
R14        0Ω                       TopLayer R0603                             2774.531      1356.008      0        "厚膜电阻 0Ω 250mW 0603"                                                                                                                   
C21        "10uF 50V"               TopLayer C1210-H2r50                       3670.000      3230.000      0        "10uF 50V 10% 1210 X7R"                                                                                                                
C20        1uF/25V                  TopLayer GRM18x                            3770.000      2975.000      90       "1uF 10% 25V X7R 0603"                                                                                                                 
D2         TVS/13V                  TopLayer SODFL3616X98N                     3850.000      3350.000      0        "TVS 工作电压13V 最大钳位电压21.5V 单向"                                                                                                           
C19        100nF/100V               TopLayer GRM18x                            5305.000      2135.000      180      "100nF 10% 100V X7R 0603"                                                                                                              
C18        1uF/25V                  TopLayer GRM18x                            5305.000      2080.000      180      "1uF 10% 25V X7R 0603"                                                                                                                 
MH1        "Mounting Hole (Screw)"  TopLayer MOUNT_PAD_L                       1496.668      3270.788      0        "Mounting Hole, M3 Screw"                                                                                                              
MH2        "Mounting Hole (Screw)"  TopLayer MOUNT_PAD_L                       1496.690      1279.946      0        "Mounting Hole, M3 Screw"                                                                                                              
P1         Header_2x20_male_P2.54   TopLayer 2541WV-2x20P                      2139.551      2272.119      270      插针结构:2x20P;间距:2.54mm;行距:2.54mm;圆针/方针:方针;安装方式:直插;排数:双排;总PIN位数:40P;额定电流:3A;配合针长度:6mm;塑高:2.54mm;端接针长度:3mm;触头材质:黄铜;触头镀层:金;工作温度:-55℃~+105℃; 
U3         TPS62130RGT              TopLayer QFN16                             2756.716      2049.060      90       ""                                                                                                                                     
U5         LT1931                   TopLayer SOT23-5                           2846.181      3000.000      0        Imported                                                                                                                               
U4         TPS7A90                  TopLayer DSK0010A                          3640.000      3005.000      0        Imported                                                                                                                               
U1         lm66100dckr_c2869734     TopLayer SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL  5295.000      2213.921      90       "LM66100 具有集成式 FET 的 1.5V 至 5.5V、1.5A、0.5μA IQ 理想二极管"                                                                                  
U2         TPS82130SILR             TopLayer SIL0008D                          4110.000      2985.000      0        内置电感的宽输入降压DCDC，工作频率2MHz                                                                                                                
T1         CLS62NP-100NC            TopLayer SMD-4P,6.8x6.6mm                  2833.586      3331.253      90       "10uH ±30% SMD-4P,6.8x6.6mm"                                                                                                           
RF1        HJ-SMA508                TopLayer HJ-SMA508                         3785.000      3560.000      270      ""                                                                                                                                     
R6         11.5kΩ                   TopLayer R0603                             3031.008      1920.469      270      "薄膜电阻 11.5kΩ ±0.1% 100mW 0603"                                                                                                         
R5         301kΩ                    TopLayer R0603                             2921.720      1955.068      0        "薄膜电阻 301kΩ ±0.1% 100mW 0603"                                                                                                          
R7         100kΩ                    TopLayer RESC1608X55N                      2922.189      2024.060      180      "100kΩ 0.1% 0603 100mW 薄膜 25ppm/℃"                                                                                                     
R13        10kΩ                     TopLayer R0603                             2716.008      2990.469      270      "薄膜电阻 10kΩ ±0.1% 100mW 0603"                                                                                                           
R12        29.4kΩ                   TopLayer R0603                             2643.992      2989.531      90       "薄膜电阻 29.4kΩ ±0.1% 100mW 0603"                                                                                                         
R9         12kΩ                     TopLayer RESC1005X35N                      4240.000      2970.000      180      "20kΩ 0.1% 0402 62.5mW 薄膜 25ppm/℃"                                                                                                     
R8         60kΩ                     TopLayer RESC1608X55N                      4185.000      2870.000      180      "100kΩ 0.1% 0603 100mW 薄膜 25ppm/℃"                                                                                                     
