# created=2026-08-19T15:34:29.6544910+08:00
# signal_mode=未知信号（默认，仅测量）
# board_termination=JP1 SHORT：50Ω端接
# generator_display_mode=发生器50Ω负载显示
# source_impedance_ohm=50.000
# generator_display_mV=453.000
# actual_board_input_mV=452.988675
# source_open_reference_mV=906.000000
# measured_board_input_mV=451.502077
# measured_source_open_equiv_mV=903.026729
# front_end_gain=2.000000
# amplitude_calibration=system_standard_editable_inverse_linear
# calibration_slope=1.004148380
# calibration_intercept_mV=-1.160606000
# calibration_reference=system_standard_100kHz_linearity; fit measured=slope*actual+intercept; R2=0.99998297649
# firmware_adc_spectrum_fs_mV=2500
# firmware_histogram_channels=65536
# pc_active_channels=65536
# metric_smoothing_bins=5
# metric_quality_note=稳健半高宽(仅指标平滑5道，原谱未改)
# firmware_frontend_gain_milli=2000
# firmware_mapping_compatible=True
# firmware_queue_depth=2
# firmware_usb_recoveries=10
# firmware_range_overflows=0
# firmware_uptime_ms=337499
# adc_offset_mV=0.000
# roi=0-65535
# display_scale=linear
# centroid_channel=23708.562180
# adc_peak_mV=904.428947
# estimated_background_counts_per_bin=0.000000
# net_peak_area=6000669.000000
# fwhm_channel=46.047057
# resolution_percent=0.194217
# input_amplitude_resolution_valid=True
# statistical_precision_percent=0.000034
# measured_rate_Hz=99854.679803
# rate_formula=delta_samples/delta_mcu_uptime
# pass_formula=delta_samples/(reference_Hz*delta_mcu_uptime_seconds)*100; same synchronized counter window; unclamped
# processing_efficiency_formula=delta_samples/delta_busy*100
# safety=CNV is hardware-generated; software does not switch JP1 or drive protected grounded pins
序号	时间	模式	端接	发生器显示mV	板端实际mV	测得输入mV	ADC峰mV	FWHM_ch	分辨率%	幅度误差%	参考Hz	实测Hz	通过率%	处理效率%	峰区计数	同步窗s	样本增量	Busy增量	触发接受率%	通过率质量
1	2026-08-19T15:08:13.4513838+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	70.600000	70.598235	70.630937	139.526669	34.578908	0.945397	0.046321	100000.000000	99876.500717	99.876501	100.000000	4940279.000	48.810000	4874972	4874972	99.876501	same_window_mcu_uptime
2	2026-08-19T15:09:07.4112017+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	94.600000	94.597635	94.337613	187.136711	31.864930	0.649552	0.274871	100000.000000	99887.854789	99.887855	100.000000	3684512.000	34.598000	3455920	3455920	99.887855	same_window_mcu_uptime
3	2026-08-19T15:10:26.9169180+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	118.400000	118.397040	118.351444	235.363610	37.346092	0.605293	0.038511	100000.000000	99808.347602	99.808348	100.000017	6099579.000	58.987000	5887395	5887394	99.808331	same_window_mcu_uptime
4	2026-08-19T15:11:26.3455925+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	142.500000	142.496438	142.442080	283.744755	34.558400	0.464607	0.038147	100000.000000	99885.752688	99.885753	100.000000	3195001.000	30.504000	3046915	3046915	99.885753	same_window_mcu_uptime
5	2026-08-19T15:12:24.4929606+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	166.600000	166.595835	166.584878	332.230659	35.293766	0.405246	0.006577	100000.000000	99891.656013	99.891656	100.000000	4309058.000	40.676000	4063193	4063193	99.891656	same_window_mcu_uptime
6	2026-08-19T15:13:14.3979937+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	191.000000	190.995225	190.471561	380.202207	36.407233	0.365286	0.274177	100000.000000	99885.200735	99.885201	100.000000	3152724.000	30.488000	3045300	3045300	99.885201	same_window_mcu_uptime
7	2026-08-19T15:14:43.2397762+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	214.700000	214.694633	214.513592	428.485741	37.111277	0.330392	0.084325	100000.000000	99883.563784	99.883564	100.000000	8627534.000	118.391000	11825315	11825315	99.883564	same_window_mcu_uptime
8	2026-08-19T15:15:49.1632269+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	238.000000	237.994050	238.591378	476.841079	38.042963	0.304341	0.250984	100000.000000	99802.443955	99.802444	99.999964	5591222.000	54.911000	5480252	5480254	99.802480	same_window_mcu_uptime
9	2026-08-19T15:16:47.5063087+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	259.000000	258.993525	258.221941	516.265076	39.868068	0.294586	0.297916	100000.000000	99775.217852	99.775218	99.999948	3891099.000	38.673000	3858607	3858609	99.775270	same_window_mcu_uptime
10	2026-08-19T15:17:45.5339847+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	282.000000	281.992950	282.216180	564.452629	38.900366	0.262897	0.079162	100000.000000	99832.120285	99.832120	100.000000	5485253.000	98.100000	9793531	9793531	99.832120	same_window_mcu_uptime
