序号,时间,发生器显示mV,板端实际mV,测得输入mV,ADC峰mV,FWHM_ch,分辨率%,幅度误差%,参考Hz,实测Hz,通过率%,处理效率%,峰区计数,同步窗s,样本增量,Busy增量,触发接受率%,线性拟合值mV,拟合残差mV
1,2026-08-19T15:08:13.4513838+08:00,70.6,70.598235,70.630937,139.526669,34.578908,0.945397,0.046321,100000.0,99876.500717,99.876501,100.0,4940279.0,48.81,4874972,4874972,99.876501,70.780348188313,-0.14941118831299605
2,2026-08-19T15:09:07.4112017+08:00,94.6,94.597635,94.337613,187.136711,31.86493,0.649552,0.274871,100000.0,99887.854789,99.887855,100.0,3684512.0,34.598,3455920,3455920,99.887855,94.7392808080228,-0.40166780802279334
3,2026-08-19T15:10:26.9169180+08:00,118.4,118.39704,118.351444,235.36361,37.346092,0.605293,0.038511,100000.0,99808.347602,99.808348,100.000017,6099579.0,58.987,5887395,5887394,99.808331,118.49855565590168,-0.14711165590168207
4,2026-08-19T15:11:26.3455925+08:00,142.5,142.496438,142.44208,283.744755,34.5584,0.464607,0.038147,100000.0,99885.752688,99.885753,100.0,3195001.0,30.504,3046915,3046915,99.885753,142.55731766068385,-0.11523766068384589
5,2026-08-19T15:12:24.4929606+08:00,166.6,166.595835,166.584878,332.230659,35.293766,0.405246,0.006577,100000.0,99891.656013,99.891656,100.0,4309058.0,40.676,4063193,4063193,99.891656,166.61607866715218,-0.031200667152177175
6,2026-08-19T15:13:14.3979937+08:00,191.0,190.995225,190.471561,380.202207,36.407233,0.365286,0.274177,100000.0,99885.200735,99.885201,100.0,3152724.0,30.488,3045300,3045300,99.885201,190.9743268305238,-0.5027658305237992
7,2026-08-19T15:14:43.2397762+08:00,214.7,214.694633,214.513592,428.485741,37.111277,0.330392,0.084325,100000.0,99883.563784,99.883564,100.0,8627534.0,118.391,11825315,11825315,99.883564,214.63377329164416,-0.12018129164417246
8,2026-08-19T15:15:49.1632269+08:00,238.0,237.99405,238.591378,476.841079,38.042963,0.304341,0.250984,100000.0,99802.443955,99.802444,99.999964,5591222.0,54.911,5480252,5480254,99.80248,237.89390321078884,0.6974747892111566
9,2026-08-19T15:16:47.5063087+08:00,259.0,258.993525,258.221941,516.265076,39.868068,0.294586,0.297916,100000.0,99775.217852,99.775218,99.999948,3891099.0,38.673,3858607,3858609,99.77527,258.85796925303487,-0.6360282530348513
10,2026-08-19T15:17:45.5339847+08:00,282.0,281.99295,282.21618,564.452629,38.900366,0.262897,0.079162,100000.0,99832.120285,99.83212,100.0,5485253.0,98.1,9793531,9793531,99.83212,281.81861301359015,0.3975669864098563
11,2026-08-19T15:18:45.7167854+08:00,305.0,304.992375,306.38188,612.984524,41.41276,0.257718,0.455587,100000.0,99864.198795,99.864199,100.000082,5191394.0,48.814,4874771,4874767,99.864117,304.7792567741453,1.6026232258546997
12,2026-08-19T15:22:42.2271257+08:00,330.0,329.99175,330.256216,660.931276,40.133359,0.231638,0.080143,100000.0,99868.035856,99.868036,99.999962,2979281.0,26.439,2640411,2640412,99.868074,329.73647825300975,0.5197377469902449
13,2026-08-19T15:23:30.1386192+08:00,354.0,353.99115,354.375797,709.370554,39.885799,0.214489,0.10866,100000.0,99884.147465,99.884147,100.0,3471398.0,32.55,3251229,3251229,99.884147,353.69541087271955,0.6803861272804284
14,2026-08-19T15:25:19.9908655+08:00,378.0,377.99055,378.484659,757.788303,41.812464,0.210483,0.13072,100000.0,99874.286676,99.874287,99.999974,7871065.0,77.279,7718185,7718187,99.874313,377.6543434924293,0.8303155075707309
15,2026-08-19T15:27:18.8788260+08:00,404.0,403.9899,402.44597,805.909725,44.886817,0.212467,0.382171,100000.0,99866.089152,99.866089,100.0,10686045.0,103.778,10363903,10363903,99.866089,403.6098538304483,-1.1638838304482988
16,2026-08-19T15:29:47.3065843+08:00,428.0,427.9893,427.053899,855.32975,43.704545,0.194919,0.218557,100000.0,99854.566883,99.854567,100.0,5118785.0,50.91,5083596,5083596,99.854567,427.5687864501581,-0.5148874501580849
17,2026-08-19T15:34:07.5708061+08:00,453.0,452.988675,451.580279,904.585999,43.363835,0.182868,0.310912,100000.0,99886.751728,99.886752,100.0,3821669.0,36.601,3655955,3655955,99.886752,452.52600792902246,-0.9457289290224367
